,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
65,2808620,9,1755791876,VILLAGE,TREASURE,92b63a39b36a445fa94c77ae212dcea3,0b6c44a481e14c7e88ac836c92499ff4,bing_pigs,Khepryyy,521.941,1701,1564,False,0b6c44a481e14c7e88ac836c92499ff4
66,2808837,9,1755793285,BURIED_TREASURE,HOUSING,92b63a39b36a445fa94c77ae212dcea3,6ddcd037dd4048e8804d0f99fa1cf4c6,bing_pigs,Ale267,561.767,1653,1654,False,92b63a39b36a445fa94c77ae212dcea3
67,2808907,9,1755793758,RUINED_PORTAL,HOUSING,0b6c44a481e14c7e88ac836c92499ff4,92b63a39b36a445fa94c77ae212dcea3,Khepryyy,bing_pigs,425.958,1666,1673,False,92b63a39b36a445fa94c77ae212dcea3
68,2808932,9,1755793966,SHIPWRECK,HOUSING,7c92678742eb4e819f3122017697ae3d,6ddcd037dd4048e8804d0f99fa1cf4c6,hackingnoises,Ale267,512.166,1536,1638,False,7c92678742eb4e819f3122017697ae3d
69,2809021,9,1755794547,SHIPWRECK,TREASURE,cc432b2626a44ae1836a50244adbf468,92b63a39b36a445fa94c77ae212dcea3,Watermelon1708,bing_pigs,577.935,1684,1691,False,92b63a39b36a445fa94c77ae212dcea3
70,2809051,9,1755794798,DESERT_TEMPLE,BRIDGE,7c92678742eb4e819f3122017697ae3d,d93d53f5b7bd4fdc970d67a772936c81,hackingnoises,Shiny_Chingling,581.522,1561,1573,False,7c92678742eb4e819f3122017697ae3d
71,2809126,9,1755795328,SHIPWRECK,BRIDGE,92b63a39b36a445fa94c77ae212dcea3,306494c164e74e838a7a0f63f79cc942,bing_pigs,IlLoonCrack,537.914,1714,1530,False,92b63a39b36a445fa94c77ae212dcea3
72,2809217,9,1755795925,DESERT_TEMPLE,TREASURE,388533d5a2ad4b349a31db4738670a4b,92b63a39b36a445fa94c77ae212dcea3,v_strid,bing_pigs,517.104,1622,1763,False,388533d5a2ad4b349a31db4738670a4b
73,2809307,9,1755796677,RUINED_PORTAL,STABLES,dd34e44dfe5d4e05923d876b9c34ca5f,92b63a39b36a445fa94c77ae212dcea3,autoqualler,bing_pigs,612.038,1564,1703,False,92b63a39b36a445fa94c77ae212dcea3
74,2809497,9,1755798063,RUINED_PORTAL,BRIDGE,92b63a39b36a445fa94c77ae212dcea3,388533d5a2ad4b349a31db4738670a4b,bing_pigs,v_strid,509.053,1733,1722,False,92b63a39b36a445fa94c77ae212dcea3
